complex_id,pdb_id,protein_chain,ligand_resname,ligand_smiles,target_name,species,uniprot_id,label_type,label_value,label_unit,activity_type,n_measurements,molecule_chembl_ids,template_structure_id,template_quality_score,template_resolution,template_ligand_resname,data_source,pdb_path
7rj6_A_YFV_14131,7rj6,A,YFV,,AAK1,MUS MUSCULUS,,KLIFS_quality_score,8.5,unitless,template_quality,1,,14131,8.5,2.132,YFV,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7rj6.pdb
5l4q_A_LKB_6677,5l4q,A,LKB,,AAK1,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,6677,9.7,1.97,LKB,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5l4q.pdb
1fpu_B_PRC_5705,1fpu,B,PRC,,ABL1,MUS MUSCULUS,,KLIFS_quality_score,9.2,unitless,template_quality,1,,5705,9.2,2.4,PRC,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/1fpu.pdb
8h7f_A_QEW_14632,8h7f,A,QEW,,ABL1,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,14632,9.9,2.45013,QEW,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/8h7f.pdb
4xli_A_1N1_5689,4xli,A,1N1,,ABL2,MUS MUSCULUS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,5689,8,2.5,1N1,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4xli.pdb
3gvu_A_STI_109,3gvu,A,STI,,ABL2,HOMO SAPIENS,,KLIFS_quality_score,9.8,unitless,template_quality,1,,109,9.8,2.05,STI,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3gvu.pdb
6srh_A_LU8_11630,6srh,A,LU8,,ALK2,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,11630,9.6,1.25,LU8,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6srh.pdb
4asx_B_6OJ_2679,4asx,B,6OJ,,ACTR2,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,2679,9.6,2.05,6OJ,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4asx.pdb
2qlu_A_ADE_2940,2qlu,A,ADE,,ACTR2B,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,2940,8,2,ADE,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2qlu.pdb
3my0_B_LDN_1273,3my0,B,LDN,,ALK1,HOMO SAPIENS,,KLIFS_quality_score,9.0,unitless,template_quality,1,,1273,9,2.65,LDN,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3my0.pdb
